序號,統計期,統計區,"總計 (公噸)","一般垃圾 (公噸)","巨大垃圾 (公噸)","資源垃圾 (公噸)","廚餘 (公噸)","平均每人每日一般廢棄物產生量 (公斤)"
85,"103年 8月",新北市,"81,000","29,818","2,724","37,463","10,994",0.66
86,"92年 11月",新北市,"96,702","81,518",0,"12,812","2,373",0.878
87,"103年 9月",新北市,"83,640","30,742","2,789","38,856","11,254",0.704
88,"92年 12月",新北市,"105,675","89,066",0,"14,264","2,346",0.928
89,"103年 10月",新北市,"78,485","29,286","2,445","36,030","10,724",0.639
90,93年,新北市,"1,296,703","1,067,247",0,"193,890","35,566",0.96
91,"103年 11月",新北市,"77,278","27,896","2,343","36,663","10,376",0.65
92,"93年 1月",新北市,"122,466","103,672",0,"16,383","2,411",1.075
93,"103年 12月",新北市,"78,483","30,259","2,294","35,530","10,400",0.638
94,104年,新北市,"940,086","307,885","40,799","466,063","125,339",0.649
95,"93年 2月",新北市,"98,113","79,550",0,"16,122","2,441",0.92
96,"104年 1月",新北市,"79,791","29,417","3,507","36,779","10,088",0.649
97,"93年 3月",新北市,"103,662","84,555",0,"16,011","3,096",0.909
98,"104年 2月",新北市,"84,950","33,584","4,856","38,259","8,251",0.765
99,"93年 4月",新北市,"102,909","84,817",0,"15,089","3,003",0.933
100,"104年 3月",新北市,"78,747","26,155","2,376","39,055","11,162",0.64
101,"93年 5月",新北市,"110,755","92,698",0,"14,768","3,289",0.97
102,"104年 4月",新北市,"75,175","23,642","2,232","38,825","10,476",0.632
103,"104年 5月",新北市,"76,373","23,305","2,785","38,597","11,686",0.621
104,"93年 6月",新北市,"115,312","95,137",0,"16,901","3,274",1.047
105,"104年 6月",新北市,"76,124","23,542","2,919","37,807","11,855",0.64
106,"93年 7月",新北市,"110,612","92,045",0,"15,713","2,855",0.972
107,"104年 7月",新北市,"77,466","23,132","3,128","39,534","11,671",0.63
108,"93年 8月",新北市,"108,277","89,759",0,"15,872","2,646",0.945
109,"104年 8月",新北市,"83,146","25,932","6,115","40,476","10,623",0.676
110,"104年 9月",新北市,"76,436","24,349","3,619","39,356","9,112",0.642
111,"93年 9月",新北市,"106,857","87,852",0,"15,916","3,089",0.963
112,"104年 10月",新北市,"79,603","26,160","3,430","39,736","10,276",0.647
113,"93年 10月",新北市,"105,026","85,049",0,"16,960","3,016",0.916
114,"104年 11月",新北市,"75,578","23,846","3,035","38,975","9,723",0.635
115,"93年 11月",新北市,"104,711","85,505",0,"15,983","3,223",0.943
116,"104年 12月",新北市,"76,698","24,820","2,797","38,665","10,415",0.623
117,"93年 12月",新北市,"108,003","86,608",0,"18,171","3,224",0.94
118,105年,新北市,"990,138","305,408","39,098","523,363","122,269",0.681
119,"105年 1月",新北市,"77,335","24,778","3,913","38,292","10,352",0.628
120,94年,新北市,"1,325,096","971,086","62,229","229,921","61,860",0.975
121,"105年 2月",新北市,"84,716","32,167","3,538","39,213","9,797",0.736
122,"94年 1月",新北市,"114,161","90,139","7,108","13,232","3,682",0.993
