統計期,統計區,總計 (公噸),一般垃圾 (公噸),巨大垃圾 (公噸),資源垃圾 (公噸),廚餘 (公噸),平均每人每日一般廢棄物產生量 (公斤),ratio
2001-03-01,金門縣,2039,1878,0,160,0,1.112,11.7375
2001-03-01,連江縣,0,0,0,0,0,0,NaN
2001-04-01,新北市,101620,97380,0,4241,0,0.948,22.961565668474417
2001-04-01,臺北市,67347,63698,0,3649,0,0.849,17.456289394354616
2001-04-01,桃園市,53982,50973,0,3010,0,1.04,16.93455149501661
2001-04-01,臺中市,59677,51436,0,8241,0,0.824,6.241475549083849
2001-04-01,臺中市(舊),21946,17411,0,4535,0,0.756,3.839250275633958
2001-04-01,臺中縣,37731,34025,0,3705,0,0.87,9.183535762483132
2001-04-01,臺南市,53711,49869,0,3842,0,0.972,12.979958355023426
2001-04-01,臺南市(舊),21925,20047,0,1878,0,0.993,10.674653887113951
2001-04-01,臺南縣,31786,29822,0,1964,0,0.958,15.184317718940937
2001-04-01,高雄市,75413,69407,0,6007,0,0.923,11.554353254536375
2001-04-01,高雄市(舊),43245,39376,0,3868,0,0.965,10.179937952430196
2001-04-01,高雄縣,32169,30030,0,2138,0,0.872,14.045837231057062
2001-04-01,宜蘭縣,13715,12712,0,1003,0,0.983,12.673978065802592
2001-04-01,新竹縣,13502,12214,0,1288,0,1.027,9.482919254658386
2001-04-01,苗栗縣,15852,14742,0,1109,0,0.963,13.293056807935077
2001-04-01,彰化縣,31801,29962,0,1839,0,0.812,16.292550299075586
2001-04-01,南投縣,12514,11936,0,578,0,0.781,20.65051903114187
2001-04-01,雲林縣,20005,18705,0,1300,0,0.9,14.388461538461538
2001-04-01,嘉義縣,16462,15486,0,976,0,0.979,15.866803278688524
2001-04-01,屏東縣,27117,26003,0,1114,0,0.998,23.34201077199282
2001-04-01,臺東縣,8894,7678,0,1217,0,1.227,6.308956450287592
2001-04-01,花蓮縣,12419,11623,0,796,0,1.178,14.60175879396985
2001-04-01,澎湖縣,2666,2397,0,269,0,0.989,8.910780669144982
2001-04-01,基隆市,12036,10268,0,1768,0,1.031,5.8076923076923075
2001-04-01,新竹市,12319,10954,0,1365,0,1.11,8.024908424908425
2001-04-01,嘉義市,8819,8645,0,174,0,1.102,49.68390804597701
2001-04-01,金門縣,2004,1885,0,119,0,1.123,15.840336134453782
2001-04-01,連江縣,0,0,0,0,0,0,NaN
2001-05-01,新北市,109071,104264,0,4806,0,0.982,21.694548481065336
2001-05-01,臺北市,74970,69131,0,5839,0,0.915,11.839527316321288
2001-05-01,桃園市,56973,53658,0,3315,0,1.06,16.186425339366515
2001-05-01,臺中市,63857,55218,0,8639,0,0.835,6.391712003704132
2001-05-01,臺中市(舊),22771,17910,0,4861,0,0.757,3.684427072618803
2001-05-01,臺中縣,41086,37308,0,3778,0,0.886,9.875066172578084
2001-05-01,臺南市,57625,53488,0,4137,0,1.009,12.929175731206188
2001-05-01,臺南市(舊),23933,21877,0,2056,0,1.049,10.64056420233463
2001-05-01,臺南縣,33692,31611,0,2081,0,0.982,15.1902931283037
2001-05-01,高雄市,79978,73805,0,6172,0,0.948,11.958036292935839
2001-05-01,高雄市(舊),46524,42508,0,4017,0,1.005,10.58202638785163
2001-05-01,高雄縣,33453,31298,0,2156,0,0.879,14.51669758812616
2001-05-01,宜蘭縣,14645,13569,0,1077,0,1.016,12.598885793871867
2001-05-01,新竹縣,14478,13281,0,1197,0,1.065,11.095238095238095
2001-05-01,苗栗縣,16584,15424,0,1160,0,0.973,13.296551724137931
2001-05-01,彰化縣,34716,32783,0,1933,0,0.855,16.95964821520952
2001-05-01,南投縣,13275,12648,0,628,0,0.8,20.14012738853503
2001-05-01,雲林縣,20470,19684,0,786,0,0.89,25.043256997455472
2001-05-01,嘉義縣,16387,15423,0,963,0,0.943,16.01557632398754
2001-05-01,屏東縣,28531,27393,0,1137,0,1.016,24.092348284960423
2001-05-01,臺東縣,9052,7986,0,1066,0,1.218,7.49155722326454
2001-05-01,花蓮縣,14177,13376,0,801,0,1.302,16.69912609238452
2001-05-01,澎湖縣,2995,2728,0,267,0,1.074,10.217228464419476
2001-05-01,基隆市,12853,10938,0,1914,0,1.065,5.714733542319749
2001-05-01,新竹市,12872,11492,0,1379,0,1.121,8.333575054387238
2001-05-01,嘉義市,9241,9056,0,185,0,1.118,48.95135135135135
2001-05-01,金門縣,2143,2007,0,136,0,1.248,14.757352941176471
2001-05-01,連江縣,0,0,0,0,0,0,NaN
2001-06-01,新北市,106699,102271,0,4428,0,0.991,23.09643179765131
2001-06-01,臺北市,72285,66286,0,5999,0,0.912,11.04950825137523
2001-06-01,桃園市,55150,52100,0,3050,0,1.059,17.081967213114755
2001-06-01,臺中市,61398,52888,0,8509,0,0.829,6.215536490774474
2001-06-01,臺中市(舊),21310,16630,0,4680,0,0.731,3.5534188034188032
2001-06-01,臺中縣,40088,36258,0,3830,0,0.893,9.466840731070496
2001-06-01,臺南市,55907,51708,0,4199,0,1.011,12.31436056203858
2001-06-01,臺南市(舊),23695,21492,0,2203,0,1.072,9.75578756241489
2001-06-01,臺南縣,32212,30216,0,1996,0,0.97,15.138276553106213
2001-06-01,高雄市,81362,74923,0,6439,0,0.996,11.635813014443237
2001-06-01,高雄市(舊),47409,43272,0,4138,0,1.058,10.457225712904785
2001-06-01,高雄縣,33952,31651,0,2301,0,0.922,13.755323772272925
2001-06-01,宜蘭縣,13714,12758,0,957,0,0.982,13.331243469174504
2001-06-01,新竹縣,13359,12674,0,685,0,1.014,18.502189781021897
2001-06-01,苗栗縣,16515,15380,0,1135,0,1.003,13.550660792951541
2001-06-01,彰化縣,34089,32264,0,1826,0,0.867,17.669222343921138
2001-06-01,南投縣,13391,12703,0,688,0,0.833,18.463662790697676
2001-06-01,雲林縣,20476,19098,0,1378,0,0.92,13.85921625544267
2001-06-01,嘉義縣,15421,14514,0,907,0,0.917,16.00220507166483
2001-06-01,屏東縣,28431,27303,0,1128,0,1.047,24.204787234042552
2001-06-01,臺東縣,9088,7834,0,1254,0,1.264,6.247208931419458
2001-06-01,花蓮縣,14465,13565,0,899,0,1.376,15.088987764182425
2001-06-01,澎湖縣,3653,3327,0,325,0,1.35,10.236923076923077
2001-06-01,基隆市,11660,9729,0,1931,0,0.998,5.038322112894873
2001-06-01,新竹市,12863,11466,0,1397,0,1.156,8.207587687902649
2001-06-01,嘉義市,9265,9028,0,237,0,1.158,38.09282700421941
2001-06-01,金門縣,2e3,1881,0,118,0,1.199,15.940677966101696
2001-06-01,連江縣,0,0,0,0,0,0,NaN
2001-07-01,新北市,108200,103175,0,5025,0,0.972,20.53233830845771
2001-07-01,臺北市,69876,65245,0,4631,0,0.854,14.088749730079897
2001-07-01,桃園市,56597,53407,0,3190,0,1.048,16.742006269592476
2001-07-01,臺中市,59515,50909,0,8606,0,0.777,5.915524052986289
2001-07-01,臺中市(舊),20638,15979,0,4659,0,0.684,3.4297059454818632
2001-07-01,臺中縣,38877,34930,0,3947,0,0.838,8.849759310869015
2001-07-01,臺南市,55180,50319,0,4861,0,0.965,10.351573750257149
2001-07-01,臺南市(舊),23749,20848,0,2901,0,1.037,7.186487418131679
2001-07-01,臺南縣,31431,29470,0,1961,0,0.916,15.028046914839368
2001-07-01,高雄市,83611,76826,0,6786,0,0.991,11.321249631594458
2001-07-01,高雄市(舊),48011,43834,0,4177,0,1.037,10.494134546325114
2001-07-01,高雄縣,35600,32991,0,2609,0,0.936,12.645074741280183
2001-07-01,宜蘭縣,15024,13607,0,1417,0,1.04,9.602681721947777
2001-07-01,新竹縣,14337,13163,0,1175,0,1.052,11.202553191489361
