統計期,統計區,總計 (公噸),一般垃圾 (公噸),巨大垃圾 (公噸),資源垃圾 (公噸),廚餘 (公噸),平均每人每日一般廢棄物產生量 (公斤)
2013-11-01,高雄市,74031,32551,1038,32707,7735,0.888
2003-03-01,臺南縣,29613,26505,0,2631,476,0.866
2013-11-01,宜蘭縣,13187,4693,299,5581,2614,0.959
2003-03-01,高雄市,73687,63465,0,10040,182,0.867
2013-11-01,新竹縣,14345,6729,55,6401,1160,0.903
2003-03-01,高雄市(舊),42213,35692,0,6521,0,0.902
2013-11-01,苗栗縣,13644,6838,278,5531,997,0.805
2003-03-01,高雄縣,31474,27773,0,3519,182,0.823
2013-11-01,彰化縣,33818,16301,571,13547,3399,0.87
2003-03-01,宜蘭縣,11670,9876,0,1554,239,0.811
2013-11-01,南投縣,14143,6789,180,5424,1750,0.911
2003-03-01,新竹縣,11243,10469,0,688,86,0.804
2013-11-01,雲林縣,16178,8451,308,5878,1540,0.761
2003-03-01,苗栗縣,14211,12428,0,1402,381,0.822
2013-11-01,嘉義縣,14922,8336,365,5196,1025,0.939
2003-03-01,彰化縣,30012,26542,0,3454,16,0.736
2013-11-01,屏東縣,20565,10897,404,8052,1213,0.804
2003-03-01,南投縣,11817,10015,0,1159,643,0.708
2013-11-01,臺東縣,6371,3289,139,2458,486,0.944
2003-03-01,雲林縣,17838,15295,0,2109,433,0.775
2013-11-01,花蓮縣,8491,4407,33,3465,586,0.847
2003-03-01,嘉義縣,14768,13239,0,1273,256,0.863
2013-11-01,澎湖縣,2542,1213,52,1001,276,0.846
2003-03-01,屏東縣,21683,20943,0,727,13,0.772
2013-11-01,基隆市,12140,5047,318,5743,1032,1.079
2003-03-01,臺東縣,7351,6139,0,1212,0,0.974
2013-11-01,新竹市,11539,5473,170,5004,892,0.899
2003-03-01,花蓮縣,11062,9052,0,1405,606,1.015
2013-11-01,嘉義市,8596,3634,280,3865,818,1.058
2003-03-01,澎湖縣,2705,2252,0,400,53,0.947
2013-11-01,金門縣,1962,873,59,903,126,0.546
2003-03-01,基隆市,9959,8206,0,1609,144,0.82
2013-11-01,連江縣,540,211,38,148,141,1.487
2003-03-01,新竹市,11220,9738,0,1437,46,0.954
2013-12-01,新北市,87491,29059,2871,43572,11988,0.714
2003-03-01,嘉義市,7614,6860,0,629,125,0.916
2013-12-01,臺北市,68733,23110,1159,38133,6330,0.826
2003-03-01,金門縣,1662,1480,0,146,36,0.902
2013-12-01,桃園市,62843,28233,60,25686,8864,0.992
2003-03-01,連江縣,0,0,0,0,0,0
2013-12-01,臺中市,65659,30480,135,30716,4328,0.784
2003-04-01,新北市,102053,91985,0,9037,1031,0.931
2013-12-01,臺南市,51078,21499,1418,22400,5760,0.875
2003-04-01,臺北市,73338,54414,0,18324,601,0.927
2013-12-01,高雄市,76069,33666,1057,33483,7862,0.883
2003-04-01,桃園市,51063,42522,0,5644,2898,0.946
2013-12-01,宜蘭縣,13697,5075,308,5683,2631,0.964
2003-04-01,臺中市,55798,43810,0,8489,3499,0.748
2013-12-01,新竹縣,14628,6893,57,6551,1127,0.89
2003-04-01,臺中市(舊),21733,14621,0,4797,2315,0.727
2013-12-01,苗栗縣,14445,7317,210,5905,1012,0.824
2003-04-01,臺中縣,34065,29189,0,3692,1184,0.762
2013-12-01,彰化縣,33679,16617,502,13419,3141,0.838
2003-04-01,臺南市,53933,46842,0,6145,946,0.97
2013-12-01,南投縣,14842,7231,200,5636,1776,0.926
2003-04-01,臺南市(舊),22943,19053,0,3368,522,1.024
2013-12-01,雲林縣,15920,8564,247,5623,1486,0.725
2003-04-01,臺南縣,30990,27789,0,2776,425,0.934
2013-12-01,嘉義縣,15036,8632,342,5024,1038,0.916
2003-04-01,高雄市,76628,65287,0,11065,276,0.931
2013-12-01,屏東縣,21259,11334,330,8206,1389,0.804
2003-04-01,高雄市(舊),43667,36441,0,7143,83,0.965
2013-12-01,臺東縣,6543,3463,166,2459,455,0.939
2003-04-01,高雄縣,32960,28846,0,3922,192,0.89
2013-12-01,花蓮縣,9156,4599,39,3947,570,0.885
2003-04-01,宜蘭縣,11670,9670,0,1573,426,0.839
2013-12-01,澎湖縣,2535,1221,52,997,266,0.815
2003-04-01,新竹縣,11760,10806,0,863,91,0.869
2013-12-01,基隆市,11558,5105,189,5244,1020,0.994
2003-04-01,苗栗縣,14698,12813,0,1459,426,0.884
2013-12-01,新竹市,11912,5703,169,5141,899,0.897
2003-04-01,彰化縣,30813,27348,0,3450,15,0.781
2013-12-01,嘉義市,8722,3608,353,3943,818,1.039
2003-04-01,南投縣,12265,10571,0,1333,361,0.758
2013-12-01,金門縣,2112,903,72,1008,130,0.566
2003-04-01,雲林縣,18628,15907,0,2133,588,0.837
2013-12-01,連江縣,590,214,43,148,184,1.567
2003-04-01,嘉義縣,16364,14610,0,1402,353,0.988
2003-04-01,屏東縣,23289,22246,0,1034,9,0.857
2003-04-01,臺東縣,7407,6071,0,1336,0,1.015
2003-04-01,花蓮縣,10930,9169,0,1417,343,1.04
2003-04-01,澎湖縣,2639,2160,0,414,65,0.955
2003-04-01,基隆市,11060,9259,0,1644,157,0.941
2003-04-01,新竹市,11921,10316,0,1559,46,1.046
2003-04-01,嘉義市,8234,7440,0,616,178,1.023
2003-04-01,金門縣,1744,1474,0,229,41,0.976
2003-04-01,連江縣,0,0,0,0,0,0
2003-05-01,新北市,106486,96979,0,8310,1197,0.94
2003-05-01,臺北市,75432,57675,0,17324,433,0.923
2003-05-01,桃園市,53068,44408,0,5593,3068,0.951
2003-05-01,臺中市,60231,46404,0,9362,4465,0.774
2003-05-01,臺中市(舊),23048,15041,0,5348,2659,0.746
2003-05-01,臺中縣,37183,31363,0,4014,1806,0.792
2003-05-01,臺南市,55828,48217,0,6597,1013,0.972
2003-05-01,臺南市(舊),24722,20298,0,3828,596,1.068
2003-05-01,臺南縣,31105,27919,0,2770,417,0.907
2003-05-01,高雄市,83014,67746,0,15003,264,0.976
2003-05-01,高雄市(舊),49217,38335,0,10870,12,1.052
2003-05-01,高雄縣,33797,29412,0,4133,252,0.883
2003-05-01,宜蘭縣,11922,9832,0,1626,464,0.829
2014-01-01,新北市,100059,36070,4065,47028,12896,0.816
2003-05-01,新竹縣,12003,11091,0,809,103,0.857
2014-01-01,臺北市,74475,26069,1538,40222,6647,0.894
2003-05-01,苗栗縣,15686,13716,0,1467,503,0.914
2014-01-01,桃園市,69030,32756,85,26983,9207,1.089
2003-05-01,彰化縣,33322,29319,0,3979,24,0.817
2014-01-01,臺中市,74113,35355,240,34183,4334,0.885
2003-05-01,南投縣,12877,10876,0,1525,476,0.771
2014-01-01,臺南市,52652,22873,1202,22748,5830,0.902
2003-05-01,雲林縣,19252,16288,0,2407,557,0.837
2014-01-01,高雄市,78126,35136,1646,33457,7887,0.907
2003-05-01,嘉義縣,16461,14690,0,1360,410,0.977
2014-01-01,宜蘭縣,14714,6013,368,5727,2605,1.035
2003-05-01,屏東縣,23646,22670,0,967,9,0.843
2014-01-01,新竹縣,16872,8730,127,6874,1141,1.026
2003-05-01,臺東縣,7475,6189,0,1286,0,0.992
2014-01-01,苗栗縣,15776,8301,416,6e3,1059,0.9
2003-05-01,花蓮縣,11454,9796,0,1326,332,1.064
2014-01-01,彰化縣,36669,18284,902,14270,3213,0.913
2003-05-01,澎湖縣,2657,2194,0,411,52,0.928
2014-01-01,南投縣,17220,8524,291,6644,1762,1.074
2003-05-01,基隆市,12418,10569,0,1696,153,1.023
2014-01-01,雲林縣,18319,10406,449,5909,1555,0.835
2003-05-01,新竹市,12681,11037,0,1577,66,1.076
2014-01-01,嘉義縣,16040,9416,180,5455,988,0.978
2003-05-01,嘉義市,8506,7608,0,718,180,1.021
2014-01-01,屏東縣,22765,12826,665,7985,1288,0.862
2003-05-01,金門縣,1693,1471,0,176,46,0.917
2014-01-01,臺東縣,6784,3626,171,2488,499,0.974
2003-05-01,連江縣,0,0,0,0,0,0
2014-01-01,花蓮縣,9388,4949,83,3792,564,0.907
2003-06-01,新北市,105521,94064,0,9801,1656,0.962
2014-01-01,澎湖縣,2748,1401,45,971,331,0.882
2003-06-01,臺北市,75694,55049,0,20585,60,0.958
2014-01-01,基隆市,14335,6338,364,6466,1168,1.234
2003-06-01,桃園市,53285,44140,0,5927,3218,0.986
2014-01-01,新竹市,15357,8244,241,5908,964,1.156
2003-06-01,臺中市,58153,45215,0,9345,3593,0.771
2014-01-01,嘉義市,9011,4058,307,3829,817,1.073
2014-01-01,金門縣,2144,1108,90,814,131,0.572
2003-06-01,臺中市(舊),22143,14659,0,5216,2268,0.739
2014-01-01,連江縣,627,227,67,227,107,1.661
2003-06-01,臺中縣,36010,30556,0,4130,1325,0.792
2003-06-01,臺南市,56479,48993,0,6528,958,1.016
2014-02-01,新北市,84392,28648,1859,42764,11120,0.762
2003-06-01,臺南市(舊),24302,20203,0,3535,564,1.084
2014-02-01,臺北市,65119,20547,704,37967,5901,0.865
2003-06-01,臺南縣,32177,28790,0,2993,394,0.97
2014-02-01,桃園市,65948,30126,65,26885,8872,1.152
2003-06-01,高雄市,78218,66217,0,11519,481,0.951
2014-02-01,臺中市,65312,29758,181,31138,4235,0.863
2014-02-01,臺南市,49347,20849,777,22001,5721,0.936
2003-06-01,高雄市(舊),43917,36344,0,7564,9,0.97
2003-06-01,高雄縣,34301,29873,0,3956,472,0.927
2014-02-01,高雄市,73444,32039,981,32852,7573,0.944
2003-06-01,宜蘭縣,11991,9935,0,1580,476,0.862
2014-02-01,宜蘭縣,12805,4684,227,5343,2552,0.998
2014-02-01,新竹縣,14350,7005,114,6065,1165,0.965
2003-06-01,新竹縣,12342,11111,0,1115,116,0.909
2014-02-01,苗栗縣,13657,7123,118,5356,1059,0.862
2003-06-01,苗栗縣,15076,13127,0,1435,515,0.908
2003-06-01,彰化縣,32507,28465,0,3999,42,0.823
2014-02-01,彰化縣,33120,16440,611,13188,2881,0.913
2014-02-01,南投縣,14881,7301,92,5794,1694,1.028
2003-06-01,南投縣,12690,10886,0,1277,527,0.787
2014-02-01,雲林縣,16288,8863,205,5761,1458,0.822
2003-06-01,雲林縣,18859,15934,0,2432,494,0.848
2014-02-01,嘉義縣,15013,8026,120,5892,974,1.015
2003-06-01,嘉義縣,17238,15539,0,1337,362,1.065
2003-06-01,屏東縣,24613,23411,0,1191,11,0.907
2014-02-01,屏東縣,20935,11549,356,7851,1178,0.878
2014-02-01,臺東縣,6661,3655,103,2407,496,1.058
2003-06-01,臺東縣,7349,6128,0,1221,0,1.009
2014-02-01,花蓮縣,8894,4414,84,3785,611,0.952
2003-06-01,花蓮縣,11941,9986,0,1485,470,1.148
2003-06-01,澎湖縣,2588,2129,0,403,56,0.935
2014-02-01,澎湖縣,2306,1040,38,921,308,0.819
2014-02-01,基隆市,11205,4949,132,5108,1017,1.068
2003-06-01,基隆市,12060,10059,0,1862,140,1.026
2014-02-01,新竹市,12257,5920,182,5278,878,1.021
2003-06-01,新竹市,12615,10972,0,1567,75,1.105
2014-02-01,嘉義市,7633,3103,210,3520,800,1.006
2003-06-01,嘉義市,8807,7749,0,861,197,1.092
2003-06-01,金門縣,1777,1385,0,343,49,0.993
2014-02-01,金門縣,1674,821,31,696,126,0.492
2003-06-01,連江縣,0,0,0,0,0,0
2014-02-01,連江縣,618,193,62,221,142,1.808
2003-07-01,新北市,107121,92826,0,12432,1864,0.944
2014-03-01,新北市,83477,30477,2397,39972,10631,0.681
2003-07-01,臺北市,78318,58292,0,19890,135,0.96
2014-03-01,臺北市,65671,21318,1018,37149,6187,0.788
2003-07-01,桃園市,53904,44169,0,6527,3209,0.966
2014-03-01,桃園市,68180,33143,95,26008,8933,1.075
2003-07-01,臺中市,60689,46720,0,9838,4132,0.778
2014-03-01,臺中市,67118,31504,289,31188,4137,0.801
2014-03-01,臺南市,50954,21402,1080,22652,5820,0.873
2003-07-01,臺中市(舊),23921,15263,0,5917,2740,0.772
2003-07-01,臺中縣,36769,31457,0,3921,1392,0.783
2014-03-01,高雄市,78086,34544,1096,34298,8148,0.906
2003-07-01,臺南市,56617,48329,0,7170,1117,0.985
2014-03-01,宜蘭縣,12984,4840,263,5402,2479,0.914
2003-07-01,臺南市(舊),24199,19044,0,4271,883,1.044
2014-03-01,新竹縣,14659,7356,61,6036,1205,0.89
2003-07-01,臺南縣,32418,29285,0,2899,234,0.945
2014-03-01,苗栗縣,14139,7299,290,5514,1035,0.806
2003-07-01,高雄市,83388,67696,0,15484,208,0.981
2014-03-01,彰化縣,32862,16806,410,12998,2649,0.819
2003-07-01,高雄市(舊),49935,38891,0,11040,3,1.068
2014-03-01,南投縣,14876,7160,201,5810,1705,0.929
2003-07-01,高雄縣,33453,28805,0,4444,205,0.875
2014-03-01,雲林縣,15879,8675,240,5422,1543,0.724
2003-07-01,宜蘭縣,12148,9935,0,1698,515,0.845
2014-03-01,嘉義縣,13863,7012,252,5687,912,0.847
2003-07-01,新竹縣,12224,11106,0,1007,111,0.871
2014-03-01,屏東縣,20165,11113,308,7519,1225,0.764
2003-07-01,苗栗縣,14780,12924,0,1461,395,0.856
2014-03-01,臺東縣,6364,3421,100,2381,463,0.914
2003-07-01,彰化縣,32788,28621,0,4047,120,0.803
2014-03-01,花蓮縣,8737,4405,54,3687,590,0.845
2003-07-01,南投縣,12783,10685,0,1563,535,0.836
2014-03-01,澎湖縣,2505,1190,45,939,331,0.802
2003-07-01,雲林縣,19107,15921,0,2631,555,0.831
2014-03-01,基隆市,11422,5003,189,5174,1056,0.984
2003-07-01,嘉義縣,17836,15482,0,1445,909,1.057
2014-03-01,新竹市,12460,6015,209,5360,876,0.937
2003-07-01,屏東縣,24945,23739,0,1195,11,0.889
2014-03-01,嘉義市,8210,3392,274,3786,757,0.977
2003-07-01,臺東縣,7724,6457,0,1267,0,1.024
2014-03-01,金門縣,1858,876,40,808,134,0.491
2003-07-01,花蓮縣,11685,9817,0,1467,401,1.084
2014-03-01,連江縣,653,220,34,224,176,1.718
2003-07-01,澎湖縣,2823,2123,0,640,60,0.987
2014-04-01,新北市,85767,29240,2402,43323,10802,0.723
2003-07-01,基隆市,10879,8546,0,2099,235,0.896
2014-04-01,臺北市,63552,20213,1008,36125,6205,0.787
2003-07-01,新竹市,12396,10733,0,1558,105,1.049
2014-04-01,桃園市,65026,30530,130,26009,8357,1.059
2003-07-01,嘉義市,8808,7931,0,721,156,1.056
2014-04-01,臺中市,64764,29541,317,31073,3834,0.798
2003-07-01,金門縣,1659,1406,0,198,55,0.896
2014-04-01,臺南市,50153,20802,1130,22521,5700,0.888
2003-07-01,連江縣,839,645,0,142,53,6.216
2014-04-01,高雄市,75176,32588,1082,33643,7863,0.902
2003-08-01,新北市,103832,87861,0,13842,2130,0.915
2014-04-01,宜蘭縣,12834,4783,223,5311,2516,0.933
2003-08-01,臺北市,75172,53730,0,21382,60,0.922
2014-04-01,新竹縣,14597,6994,62,6386,1155,0.914
2003-08-01,桃園市,51534,42473,0,6184,2876,0.926
2014-04-01,苗栗縣,14336,7171,545,5577,1044,0.845
2003-08-01,臺中市,59061,45289,0,9561,4212,0.757
2014-04-01,彰化縣,33077,16895,462,13085,2634,0.852
2003-08-01,臺中市(舊),23163,14772,0,5545,2846,0.747
2014-04-01,南投縣,14537,7016,134,5689,1698,0.939
2003-08-01,臺中縣,35898,30517,0,4016,1366,0.764
2014-04-01,雲林縣,16096,8734,237,5603,1522,0.759
2003-08-01,臺南市,55906,47478,0,7268,1160,0.973
2014-04-01,嘉義縣,14522,7519,162,5967,875,0.918
2003-08-01,臺南市(舊),23716,18508,0,4242,966,1.023
2014-04-01,屏東縣,20741,11335,393,7766,1246,0.812
2003-08-01,臺南縣,32190,28970,0,3026,194,0.939
2014-04-01,臺東縣,6393,3516,108,2344,425,0.948
2003-08-01,高雄市,84013,69182,0,14482,349,0.988
2014-04-01,花蓮縣,8472,4295,57,3567,553,0.846
2003-08-01,高雄市(舊),49148,39284,0,9860,4,1.051
2014-04-01,澎湖縣,3043,1574,49,1069,351,1.005
2003-08-01,高雄縣,34865,29899,0,4622,345,0.912
2014-04-01,基隆市,11217,4914,172,5089,1042,0.999
2003-08-01,宜蘭縣,12043,9730,0,1763,551,0.838
2014-04-01,新竹市,13253,6565,144,5661,882,1.029
2003-08-01,新竹縣,12372,10904,0,1364,104,0.88
2014-04-01,嘉義市,8147,3399,175,3812,761,1.002
2003-08-01,苗栗縣,14832,12820,0,1531,480,0.854
2014-04-01,金門縣,2040,970,51,890,129,0.554
2003-08-01,彰化縣,33340,28510,0,4659,171,0.815
2014-04-01,連江縣,626,218,28,208,172,1.693
2003-08-01,南投縣,12860,10604,0,1706,551,0.84
2014-05-01,新北市,89194,32661,2604,41943,11986,0.727
2003-08-01,雲林縣,19608,16228,0,2764,616,0.854
2014-05-01,臺北市,70644,23853,1165,38582,7045,0.847
2003-08-01,嘉義縣,17334,15491,0,1614,229,1.012
2014-05-01,桃園市,56553,19990,150,27946,8467,0.891
2003-08-01,屏東縣,24361,22952,0,1398,11,0.869
2014-05-01,臺中市,69757,34292,221,31113,4131,0.831
2003-08-01,臺東縣,7560,6272,0,1288,0,1.002
2014-05-01,臺南市,50583,20799,1092,22921,5771,0.867
2003-08-01,花蓮縣,11438,9700,0,1345,394,1.061
2014-05-01,高雄市,77350,34466,1124,33565,8194,0.898
2003-08-01,澎湖縣,2891,2185,0,620,86,1.011
2014-05-01,宜蘭縣,13681,5371,306,5415,2588,0.962
2003-08-01,基隆市,11297,9315,0,1744,238,0.93
2014-05-01,新竹縣,15544,7697,39,6635,1172,0.941
2003-08-01,新竹市,11967,10256,0,1563,148,1.012
2014-05-01,苗栗縣,15555,7797,200,6452,1107,0.886
2003-08-01,嘉義市,8807,8119,0,535,153,1.055
2014-05-01,彰化縣,33225,17957,432,13409,1427,0.828
2003-08-01,金門縣,1748,1415,0,276,57,0.942
2014-05-01,南投縣,15755,7610,140,6173,1832,0.985
2014-05-01,雲林縣,15937,8699,266,5754,1219,0.727
2003-08-01,連江縣,849,675,0,134,40,3.147
2014-05-01,嘉義縣,14536,7731,106,5820,879,0.889
2003-09-01,新北市,108482,92603,0,13963,1915,0.987
2014-05-01,屏東縣,22115,12423,343,8115,1234,0.838
2003-09-01,臺北市,80410,58324,0,22004,83,1.02
2014-05-01,臺東縣,6770,3631,82,2555,502,0.971
2003-09-01,桃園市,51883,41711,0,6559,3613,0.974
2014-05-01,花蓮縣,9063,4766,68,3673,556,0.876
2003-09-01,臺中市,58450,44501,0,9847,4102,0.774
2014-05-01,澎湖縣,2999,1464,54,1103,377,0.957
2003-09-01,臺中市(舊),22855,14631,0,5461,2763,0.761
2014-05-01,基隆市,12494,5580,157,5662,1095,1.077
2003-09-01,臺中縣,35595,29870,0,4387,1339,0.782
2014-05-01,新竹市,14575,7679,140,5891,865,1.095
2003-09-01,臺南市,55371,46767,0,7427,1177,0.995
2014-05-01,嘉義市,8239,3416,229,3822,772,0.981
2003-09-01,臺南市(舊),24305,18862,0,4492,951,1.083
2014-05-01,金門縣,2044,1038,43,829,134,0.535
2003-09-01,臺南縣,31066,27906,0,2935,226,0.936
2003-09-01,高雄市,81336,69440,0,11499,398,0.989
2014-05-01,連江縣,618,186,29,221,182,1.613
2003-09-01,高雄市(舊),46856,40022,0,6826,8,1.035
2014-06-01,新北市,85830,30381,2950,40579,11920,0.723
2003-09-01,高雄縣,34481,29418,0,4673,390,0.931
2014-06-01,臺北市,72069,23843,1391,39860,6975,0.892
2003-09-01,宜蘭縣,11641,9041,0,1991,609,0.837
2014-06-01,桃園市,71774,35912,168,27259,8436,1.168
2003-09-01,新竹縣,12336,10757,0,1467,112,0.905
2014-06-01,臺中市,68242,32733,305,31409,3794,0.84
2003-09-01,苗栗縣,14965,12761,0,1538,666,0.893
2014-06-01,臺南市,50475,20701,1162,22881,5730,0.894
2003-09-01,彰化縣,32045,26905,0,4859,281,0.811
2014-06-01,高雄市,75818,32653,1361,33656,8148,0.91
2003-09-01,南投縣,12970,10724,0,1691,555,0.804
2014-06-01,宜蘭縣,13877,5699,213,5476,2489,1.009
2003-09-01,雲林縣,18961,15398,0,2892,672,0.854
2014-06-01,新竹縣,15523,7526,85,6686,1226,0.97
2003-09-01,嘉義縣,20479,18687,0,1455,337,1.218
2014-06-01,苗栗縣,14917,7722,444,5629,1122,0.878
2003-09-01,屏東縣,25516,24254,0,1250,11,0.941
2014-06-01,彰化縣,32112,17286,395,13321,1110,0.827
2003-09-01,臺東縣,7489,6245,0,1244,0,1.026
2014-06-01,南投縣,16064,7758,157,6279,1870,1.038
2003-09-01,花蓮縣,11936,10036,0,1515,386,1.141
2014-06-01,雲林縣,15524,8438,279,5692,1115,0.732
2014-06-01,嘉義縣,15082,7902,119,6219,841,0.954
2003-09-01,澎湖縣,2813,2143,0,574,96,1.017
2014-06-01,屏東縣,23264,12752,591,8560,1361,0.912
2003-09-01,基隆市,11776,9404,0,2080,292,1.002
2003-09-01,新竹市,12381,10634,0,1546,201,1.081
2014-06-01,臺東縣,6752,3688,94,2485,484,1
2014-06-01,花蓮縣,9309,4859,48,3792,611,0.93
2003-09-01,嘉義市,8383,7628,0,581,174,1.038
2003-09-01,金門縣,1617,1376,0,183,58,0.897
2014-06-01,澎湖縣,2818,1414,50,989,365,0.929
2014-06-01,基隆市,12601,5613,174,5757,1057,1.123
2003-09-01,連江縣,875,679,0,135,62,3.362
2003-10-01,新北市,104894,86788,0,15914,2192,0.922
2014-06-01,新竹市,15068,7448,153,6556,911,1.168
2014-06-01,嘉義市,8167,3415,213,3805,734,1.005
2003-10-01,臺北市,70833,52845,0,17656,332,0.87
2014-06-01,金門縣,2028,1016,39,838,134,0.546
2003-10-01,桃園市,51207,40560,0,6928,3719,0.925
2014-06-01,連江縣,664,212,37,222,193,1.786
2003-10-01,臺中市,56013,42579,0,9451,3983,0.717
2003-10-01,臺中市(舊),21414,13816,0,4996,2602,0.689
2014-07-01,新北市,83100,31171,3283,36753,11893,0.677
2003-10-01,臺中縣,34599,28763,0,4455,1380,0.735
2014-07-01,臺北市,75475,24379,1702,42315,7079,0.904
2003-10-01,臺南市,53005,44466,0,7161,1377,0.922
2014-07-01,桃園市,71759,33528,147,29481,8603,1.129
2003-10-01,臺南市(舊),23258,17850,0,4213,1194,1.002
2014-07-01,臺中市,69579,33654,352,31811,3763,0.829
2003-10-01,臺南縣,29747,26616,0,2948,183,0.867
2014-07-01,臺南市,51242,20749,1441,23201,5851,0.878
2014-07-01,高雄市,78816,34206,1541,34911,8157,0.915
2003-10-01,高雄市,75125,63786,0,10997,343,0.883
2014-07-01,宜蘭縣,14072,5683,241,5582,2565,0.989
2003-10-01,高雄市(舊),42711,36374,0,6334,2,0.913
2014-07-01,新竹縣,15712,7526,66,6790,1329,0.949
2003-10-01,高雄縣,32414,27411,0,4662,341,0.847
2003-10-01,宜蘭縣,11633,9153,0,1850,630,0.81
2014-07-01,苗栗縣,14837,7686,277,5758,1115,0.845
2003-10-01,新竹縣,12412,10974,0,1350,88,0.88
2014-07-01,彰化縣,32950,17699,575,13611,1065,0.822
2014-07-01,南投縣,16242,7877,177,6346,1842,1.016
2003-10-01,苗栗縣,14576,12397,0,1560,619,0.846
2003-10-01,彰化縣,30249,25361,0,4609,279,0.742
2014-07-01,雲林縣,15483,8418,263,5720,1081,0.706
2003-10-01,南投縣,12058,9828,0,1705,526,0.724
2014-07-01,嘉義縣,15209,8002,105,6327,775,0.931
2003-10-01,雲林縣,18351,14915,0,2924,512,0.8
2014-07-01,屏東縣,23252,12659,516,8694,1383,0.882
2003-10-01,嘉義縣,15764,13770,0,1646,348,0.907
2014-07-01,臺東縣,7407,4066,142,2705,494,1.061
2003-10-01,屏東縣,23984,22384,0,1588,12,0.856
2014-07-01,花蓮縣,9899,5141,239,3916,603,0.957
2003-10-01,臺東縣,7186,5916,0,1270,0,0.954
2014-07-01,澎湖縣,2737,1418,51,913,355,0.873
2003-10-01,花蓮縣,11333,9587,0,1344,402,1.049
2014-07-01,基隆市,12650,5774,206,5735,936,1.092
2003-10-01,澎湖縣,2992,2191,0,684,117,1.047
2014-07-01,新竹市,15220,7527,147,6595,950,1.141
2003-10-01,基隆市,11498,8941,0,2220,337,0.946
2014-07-01,嘉義市,8272,3464,150,3860,797,0.985
2003-10-01,新竹市,11534,9771,0,1547,216,0.974
2014-07-01,金門縣,2093,1013,77,861,142,0.543
2003-10-01,嘉義市,8242,7425,0,648,169,0.987
2014-07-01,連江縣,662,204,41,224,192,1.715
2003-10-01,金門縣,1659,1322,0,273,63,0.887
2014-08-01,新北市,81e3,29818,2724,37463,10994,0.66
2014-08-01,臺北市,71527,23303,1159,40464,6601,0.856
2003-10-01,連江縣,970,689,0,135,146,3.612
2014-08-01,桃園市,70932,31330,58,31024,8520,1.115
2003-11-01,新北市,96702,81518,0,12812,2373,0.878
2014-08-01,臺中市,68360,32508,288,31668,3896,0.814
2003-11-01,臺北市,68213,50126,0,17415,673,0.866
2014-08-01,臺南市,51310,20706,1415,23318,5871,0.879
2003-11-01,桃園市,50238,39232,0,7025,3981,0.924
2014-08-01,高雄市,80105,35253,1223,35616,8013,0.93
2003-11-01,臺中市,54115,40910,0,9240,3965,0.715
2014-08-01,宜蘭縣,13762,5473,241,5525,2524,0.968
2003-11-01,臺中市(舊),21096,13587,0,5005,2504,0.701
2014-08-01,新竹縣,15525,7271,84,6705,1466,0.936
2003-11-01,臺中縣,33020,27323,0,4235,1461,0.725
2014-08-01,苗栗縣,14400,7457,247,5628,1068,0.82
2003-11-01,臺南市,50862,42772,0,7153,937,0.914
2014-08-01,彰化縣,32746,17550,503,13627,1065,0.817
2003-11-01,臺南市(舊),22788,17594,0,4434,761,1.014
2014-08-01,南投縣,16374,7856,257,6401,1860,1.025
2003-11-01,臺南縣,28074,25179,0,2720,176,0.846
2014-08-01,雲林縣,15712,8627,273,5805,1007,0.717
2003-11-01,高雄市,72404,61069,0,10806,529,0.88
2014-08-01,嘉義縣,15139,7901,109,6299,830,0.927
2003-11-01,高雄市(舊),41129,35283,0,5842,3,0.909
2014-08-01,屏東縣,22825,11951,722,8870,1282,0.866
2003-11-01,高雄縣,31275,25786,0,4964,526,0.844
2014-08-01,臺東縣,7084,3884,109,2574,517,1.015
2003-11-01,宜蘭縣,11275,8819,0,1797,658,0.811
2014-08-01,花蓮縣,8909,4611,94,3592,612,0.861
2003-11-01,新竹縣,11879,10479,0,1294,106,0.87
2003-11-01,苗栗縣,13711,11586,0,1468,657,0.824
2014-08-01,澎湖縣,2759,1341,52,1032,334,0.88
2003-11-01,彰化縣,30140,25667,0,4101,372,0.763
2014-08-01,基隆市,11597,5233,171,5322,870,1.001
2003-11-01,南投縣,11594,9263,0,1840,492,0.719
2014-08-01,新竹市,15356,7656,147,6661,892,1.151
2003-11-01,雲林縣,17500,14240,0,2746,514,0.788
2014-08-01,嘉義市,8116,3190,271,3867,789,0.967
2003-11-01,嘉義縣,13755,11877,0,1463,415,0.818
2014-08-01,金門縣,2161,1016,77,925,143,0.558
2003-11-01,屏東縣,22047,20171,0,1864,11,0.813
2014-08-01,連江縣,596,189,33,209,165,1.543
2003-11-01,臺東縣,6655,5521,0,1133,0,0.918
2014-09-01,新北市,83640,30742,2789,38856,11254,0.704
2003-11-01,花蓮縣,10780,9063,0,1347,370,1.031
2014-09-01,臺北市,72680,23219,1351,41441,6668,0.899
2003-11-01,澎湖縣,2829,2096,0,606,126,1.022
2014-09-01,桃園市,70262,28834,428,32468,8532,1.141
2003-11-01,基隆市,10652,8406,0,1930,317,0.905
2014-09-01,臺中市,69514,32895,248,32652,3718,0.854
2003-11-01,新竹市,11062,9336,0,1522,204,0.965
2014-09-01,臺南市,51668,20803,1795,23250,5820,0.914
2003-11-01,嘉義市,7605,6751,0,518,336,0.941
