統計期,統計區,總計 (公噸),一般垃圾 (公噸),巨大垃圾 (公噸),資源垃圾 (公噸),廚餘 (公噸),平均每人每日一般廢棄物產生量 (公斤)
2001-02-01,臺東縣,8548,7360,0,1188,0,1.254
2011-03-01,雲林縣,15149,9682,191,4066,1210,0.682
2001-02-01,花蓮縣,12955,12206,0,749,0,1.316
2001-02-01,澎湖縣,2850,2584,0,266,0,1.137
2011-03-01,嘉義縣,14579,8983,222,4518,856,0.868
2001-02-01,基隆市,11782,9544,0,2238,0,1.083
2011-03-01,屏東縣,21001,12643,294,6634,1430,0.777
2001-02-01,新竹市,11820,10395,0,1425,0,1.144
2011-03-01,臺東縣,5426,3027,105,1782,512,0.76
2011-03-01,花蓮縣,8213,4308,156,3011,739,0.783
2001-02-01,嘉義市,8078,7898,0,180,0,1.083
2011-03-01,澎湖縣,2686,1424,71,898,293,0.895
2001-02-01,金門縣,1937,1801,0,136,0,1.271
2001-02-01,連江縣,0,0,0,0,0,0
2011-03-01,基隆市,11083,5266,261,4495,1061,0.933
2001-03-01,新北市,103025,98729,0,4296,0,0.931
2011-03-01,新竹市,12453,6089,614,4657,1092,0.966
2011-03-01,嘉義市,8565,4293,262,3085,924,1.015
2001-03-01,臺北市,70017,65702,0,4316,0,0.854
2011-03-01,金門縣,1625,893,87,501,143,0.534
2001-03-01,桃園市,54688,51543,0,3144,0,1.021
2001-03-01,臺中市,59310,51367,0,7943,0,0.81
2011-03-01,連江縣,483,193,30,171,90,1.566
2001-03-01,臺中市(舊),21470,17173,0,4297,0,0.717
2011-04-01,新北市,86521,29661,2330,38889,15641,0.74
2011-04-01,臺北市,79466,29606,977,41728,7154,1.008
2001-03-01,臺中縣,37840,34194,0,3646,0,0.874
2001-03-01,臺南市,53100,49239,0,3861,0,0.931
2011-04-01,桃園市,52570,22576,451,22483,7061,0.875
2011-04-01,臺中市,61490,30756,947,24214,5574,0.773
2001-03-01,臺南市(舊),21692,19666,0,2025,0,0.952
2011-04-01,臺南市,54476,26003,972,22197,5304,0.969
2001-03-01,臺南縣,31408,29573,0,1835,0,0.917
2011-04-01,高雄市,81092,40639,1752,31762,6939,0.975
2001-03-01,高雄市,77253,71066,0,6187,0,0.915
2001-03-01,高雄市(舊),45048,40979,0,4069,0,0.973
2011-04-01,宜蘭縣,13283,5100,311,5299,2573,0.963
2001-03-01,高雄縣,32205,30088,0,2118,0,0.844
2011-04-01,新竹縣,13129,7358,29,4615,1127,0.851
2001-03-01,宜蘭縣,14518,13467,0,1051,0,1.007
2011-04-01,苗栗縣,13959,7382,109,5511,957,0.83
2011-04-01,彰化縣,35950,20166,433,10837,4514,0.918
2001-03-01,新竹縣,12719,11365,0,1354,0,0.939
2011-04-01,南投縣,12694,6679,67,4296,1652,0.805
2001-03-01,苗栗縣,15887,14793,0,1094,0,0.934
2011-04-01,雲林縣,15666,10069,161,4151,1286,0.729
2001-03-01,彰化縣,32079,30358,0,1722,0,0.792
2011-04-01,嘉義縣,14654,9047,217,4553,836,0.902
2001-03-01,南投縣,13531,12740,0,791,0,0.819
2011-04-01,屏東縣,21151,12858,267,6568,1458,0.809
2001-03-01,雲林縣,19924,18721,0,1203,0,0.867
2011-04-01,臺東縣,6422,4051,114,1771,486,0.931
2001-03-01,嘉義縣,16661,15750,0,911,0,0.958
2011-04-01,花蓮縣,8119,4226,61,3053,780,0.8
2001-03-01,屏東縣,26591,25450,0,1141,0,0.947
2011-04-01,澎湖縣,2809,1530,63,903,312,0.968
2001-03-01,臺東縣,8641,7781,0,860,0,1.146
2011-04-01,基隆市,11372,5303,209,4795,1065,0.991
2001-03-01,花蓮縣,13819,13011,0,808,0,1.268
2011-04-01,新竹市,11931,5864,311,4684,1071,0.955
2001-03-01,澎湖縣,3068,2833,0,236,0,1.103
2011-04-01,嘉義市,8670,4372,239,3119,940,1.062
2001-03-01,基隆市,11996,9883,0,2112,0,0.995
2011-04-01,金門縣,1586,885,31,533,138,0.537
2001-03-01,新竹市,13538,11854,0,1685,0,1.183
2011-04-01,連江縣,481,217,32,130,103,1.608
2001-03-01,嘉義市,8768,8503,0,265,0,1.061
2011-05-01,新北市,88558,31188,2319,38383,16668,0.732
2001-03-01,金門縣,2039,1878,0,160,0,1.112
2011-05-01,臺北市,81356,32155,1123,40368,7709,0.997
2001-03-01,連江縣,0,0,0,0,0,0
2011-05-01,桃園市,49952,19893,584,21995,7480,0.804
2001-04-01,新北市,101620,97380,0,4241,0,0.948
2011-05-01,臺中市,64756,33056,1029,24670,6001,0.787
2001-04-01,臺北市,67347,63698,0,3649,0,0.849
2011-05-01,臺南市,58118,28003,1414,23064,5637,1.001
2001-04-01,桃園市,53982,50973,0,3010,0,1.04
2001-04-01,臺中市,59677,51436,0,8241,0,0.824
2011-05-01,高雄市,85239,43591,1710,32733,7206,0.992
2001-04-01,臺中市(舊),21946,17411,0,4535,0,0.756
2011-05-01,宜蘭縣,14392,5957,273,5570,2592,1.01
2001-04-01,臺中縣,37731,34025,0,3705,0,0.87
2011-05-01,新竹縣,13679,7817,16,4720,1126,0.858
2001-04-01,臺南市,53711,49869,0,3842,0,0.972
2011-05-01,苗栗縣,14481,7794,135,5538,1015,0.833
2001-04-01,臺南市(舊),21925,20047,0,1878,0,0.993
2011-05-01,彰化縣,37754,21474,459,11274,4547,0.933
2001-04-01,臺南縣,31786,29822,0,1964,0,0.958
2011-05-01,南投縣,13765,7533,84,4414,1734,0.846
2001-04-01,高雄市,75413,69407,0,6007,0,0.923
2011-05-01,雲林縣,16390,10492,174,4413,1311,0.738
2001-04-01,高雄市(舊),43245,39376,0,3868,0,0.965
2011-05-01,嘉義縣,15113,9524,208,4514,866,0.901
2001-04-01,高雄縣,32169,30030,0,2138,0,0.872
2011-05-01,屏東縣,22455,13765,260,6983,1446,0.832
2001-04-01,宜蘭縣,13715,12712,0,1003,0,0.983
2011-05-01,臺東縣,6556,4140,83,1809,523,0.92
2001-04-01,新竹縣,13502,12214,0,1288,0,1.027
2011-05-01,花蓮縣,8807,4540,107,3326,833,0.841
2001-04-01,苗栗縣,15852,14742,0,1109,0,0.963
2011-05-01,澎湖縣,3047,1704,71,931,342,1.017
2001-04-01,彰化縣,31801,29962,0,1839,0,0.812
2011-05-01,基隆市,11913,5700,197,4912,1104,1.005
2001-04-01,南投縣,12514,11936,0,578,0,0.781
2011-05-01,新竹市,12609,6151,352,4895,1211,0.976
2001-04-01,雲林縣,20005,18705,0,1300,0,0.9
2011-05-01,嘉義市,9171,4746,210,3302,913,1.087
2001-04-01,嘉義縣,16462,15486,0,976,0,0.979
2011-05-01,金門縣,1708,1003,39,503,162,0.557
2001-04-01,屏東縣,27117,26003,0,1114,0,0.998
2011-05-01,連江縣,524,221,42,139,121,1.693
2001-04-01,臺東縣,8894,7678,0,1217,0,1.227
2011-06-01,新北市,90620,32246,2315,39257,16802,0.774
2001-04-01,花蓮縣,12419,11623,0,796,0,1.178
2011-06-01,臺北市,81765,31799,1192,40690,8084,1.035
