序號,統計期,統計區,"總計 (公噸)","紙類及紙製品 (公噸)","金屬類 (公噸)","塑膠及橡膠製品 (公噸)","玻璃製品 (公噸)","紡織品 (公噸)","家電用品 (公噸)","電池 (公噸)","資訊及通信物品 (公噸)","農藥容器及特殊環境用藥容器 (公噸)","食用油 (公噸)","其他 (公噸)"
2020,"103年 6月",嘉義市,"3,805","1,842","1,089",367,185,54,175,20,54,0,0,18
2021,"91年 10月",桃園市,"4,941","2,501",753,438,327,69,31,43,13,0,0,766
2022,"103年 6月",金門縣,838,439,185,96,57,2,21,15,6,0,0,18
2023,"91年 10月",臺中市,"10,431","3,830","1,486",836,764,57,52,20,21,0,0,"3,364"
2024,"103年 6月",連江縣,222,79,81,37,13,1,7,3,1,0,0,0
2025,"91年 10月",臺中市(舊),"5,951","2,001",793,332,283,26,28,3,14,0,0,"2,470"
2026,"103年 7月",新北市,"36,753","20,069","8,646","3,724","2,241",483,328,79,108,16,0,"1,058"
2027,"91年 10月",臺中縣,"4,480","1,829",692,504,481,31,24,17,6,0,0,895
2028,"103年 7月",臺北市,"42,315","28,514","10,360","1,812",876,84,325,106,77,0,0,160
2029,"91年 10月",臺南市,"6,550","3,144",964,"1,575",390,149,44,77,16,0,0,192
2030,"103年 7月",桃園市,"29,481","15,007","6,980","3,692","1,798",188,409,199,226,3,0,979
2031,"91年 10月",臺南市(舊),"3,785","1,911",415,"1,140",229,52,20,8,7,0,0,3
2032,"103年 7月",臺中市,"31,811","17,651","5,877","3,193","3,079",191,487,124,152,12,0,"1,044"
2033,"91年 10月",臺南縣,"2,765","1,233",550,436,161,97,24,69,8,0,0,188
2034,"103年 7月",臺南市,"23,201","13,140","6,190","1,893","1,218",146,181,113,86,9,0,226
2035,"91年 10月",高雄市,"10,374","3,983","2,998","1,350","1,295",130,185,30,37,0,0,366
2036,"103年 7月",高雄市,"34,911","16,377","6,725","2,954","3,167",636,774,254,330,7,0,"3,689"
2037,"91年 10月",高雄市(舊),"7,058","2,531","2,347",921,909,68,130,21,21,0,0,111
2038,"103年 7月",宜蘭縣,"5,582","2,941","1,131",643,550,111,57,18,15,5,0,111
2039,"91年 10月",高雄縣,"3,317","1,452",651,430,386,62,55,9,16,0,0,255
2040,"103年 7月",新竹縣,"6,790","3,188","2,171",747,468,33,82,39,26,0,0,37
2041,"91年 10月",宜蘭縣,"1,931",813,649,205,56,15,20,14,3,0,0,157
2042,"103年 7月",苗栗縣,"5,758","2,281","1,619",734,758,79,141,39,47,7,0,53
2043,"91年 10月",新竹縣,793,489,162,52,44,7,20,5,9,0,0,4
2044,"103年 7月",彰化縣,"13,611","7,641","1,736","1,369","1,663",546,263,47,62,12,0,271
2045,"91年 10月",苗栗縣,"1,615",986,165,121,98,10,9,17,3,0,0,206
2046,"103年 7月",南投縣,"6,346","3,742","1,113",811,442,65,65,39,23,3,0,43
2047,"91年 10月",彰化縣,"3,330","1,813",587,406,413,33,32,15,10,0,0,20
2048,"103年 7月",雲林縣,"5,720","2,434","1,637",579,569,66,321,57,23,15,0,20
2049,"91年 10月",南投縣,"1,395",487,269,188,258,15,16,7,6,0,0,150
2050,"103年 7月",嘉義縣,"6,327","2,152","2,106",960,762,168,53,18,12,5,0,93
2051,"91年 10月",雲林縣,"1,967",963,434,206,267,6,24,16,14,0,0,36
2052,"103年 7月",屏東縣,"8,694","3,490","2,156","1,226",966,123,336,149,27,8,0,214
2053,"91年 10月",嘉義縣,"1,124",528,258,188,95,14,20,5,2,0,0,13
2054,"103年 7月",臺東縣,"2,705",881,246,"1,021",459,5,20,17,4,10,0,42
2055,"91年 10月",屏東縣,980,428,147,110,194,7,23,2,0,0,0,70
2056,"103年 7月",花蓮縣,"3,916","2,214",726,446,329,38,83,20,14,2,0,44
2057,"91年 10月",臺東縣,"1,132",771,127,192,27,2,10,1,0,0,0,2
2058,"103年 7月",澎湖縣,913,466,76,99,236,8,7,4,3,0,0,13
2059,"91年 10月",花蓮縣,"1,524","1,019",186,168,42,14,20,6,7,0,0,62
2060,"103年 7月",基隆市,"5,735","3,626",508,419,841,42,56,3,27,0,0,212
2061,"91年 10月",澎湖縣,440,172,40,34,57,5,31,50,3,0,0,49
2062,"103年 7月",新竹市,"6,595","3,838",730,461,"1,089",227,61,114,16,0,0,60
2063,"91年 10月",基隆市,"1,992",880,360,255,301,66,95,23,11,0,0,2
2064,"103年 7月",嘉義市,"3,860","1,900","1,085",363,177,55,191,21,56,0,0,11
2065,"91年 10月",新竹市,"1,567",600,215,149,424,7,13,2,5,0,0,152
2066,"103年 7月",金門縣,861,443,206,124,55,2,15,4,4,0,0,8
2067,"91年 10月",嘉義市,642,280,82,105,123,42,3,0,1,0,0,6
2068,"103年 7月",連江縣,224,81,81,40,13,1,6,2,1,0,0,0
2069,"91年 10月",金門縣,256,111,64,32,2,0,4,3,0,0,0,38
2070,"103年 8月",新北市,"37,463","19,466","9,479","4,427","2,188",486,309,90,96,15,0,908
2071,"91年 10月",連江縣,0,0,0,0,0,0,0,0,0,0,0,0
2072,"103年 8月",臺北市,"40,464","26,260","10,872","1,633",936,48,379,104,155,0,0,76
2073,"91年 11月",新北市,"8,506","3,957","2,488",884,534,291,121,49,31,0,0,153
2074,"103年 8月",桃園市,"31,024","17,292","6,764","3,405","1,605",186,424,193,239,3,0,912
2075,"91年 11月",臺北市,"18,689","11,448","4,847","1,132",783,130,9,16,6,0,0,318
2076,"103年 8月",臺中市,"31,668","17,668","5,678","3,271","3,098",202,488,134,154,11,0,965
2077,"91年 11月",桃園市,"5,813","2,971",683,507,334,93,31,18,13,0,0,"1,164"
2078,"103年 8月",臺南市,"23,318","13,221","6,229","1,898","1,188",143,187,118,91,6,0,235
2079,"91年 11月",臺中市,"9,829","3,448","1,108",810,999,118,71,51,12,0,0,"3,213"
2080,"103年 8月",高雄市,"35,616","16,773","6,824","2,792","3,123",912,558,252,282,7,0,"4,092"
2081,"91年 11月",臺中市(舊),"5,228","1,546",457,368,459,76,51,34,9,0,0,"2,228"
2082,"103年 8月",宜蘭縣,"5,525","2,875","1,171",636,525,139,51,23,15,4,0,87
2083,"91年 11月",臺中縣,"4,601","1,902",651,442,540,42,20,16,3,0,0,985
2084,"103年 8月",新竹縣,"6,705","3,091","2,139",774,465,35,97,39,25,1,0,39
2085,"91年 11月",臺南市,"6,341","3,121",885,"1,375",349,174,44,104,10,0,0,278
2086,"103年 8月",苗栗縣,"5,628","2,433","1,493",673,670,81,141,39,53,3,0,42
2087,"91年 11月",臺南市(舊),"3,728","2,006",384,994,182,60,19,11,7,0,0,66
2088,"103年 8月",彰化縣,"13,627","7,596","1,686","1,377","1,698",562,262,48,68,10,0,321
2089,"91年 11月",臺南縣,"2,612","1,115",500,381,168,114,25,94,3,0,0,212
2090,"103年 8月",南投縣,"6,401","3,502","1,144",969,459,62,148,43,44,3,0,29
2091,"91年 11月",高雄市,"10,089","4,257","2,633","1,211","1,186",132,177,42,35,0,0,416
2092,"103年 8月",雲林縣,"5,805","2,550","1,621",671,546,63,230,64,24,13,0,23
2093,"91年 11月",高雄市(舊),"6,539","2,730","1,904",794,781,60,123,31,19,0,0,97
2094,"103年 8月",嘉義縣,"6,299","2,204","2,100",953,686,167,51,17,12,3,0,106
2095,"91年 11月",高雄縣,"3,550","1,527",729,417,404,72,55,11,16,0,0,318
