序號,統計期,統計區,"總計 (公噸)","一般垃圾 (公噸)","巨大垃圾 (公噸)","資源垃圾 (公噸)","廚餘 (公噸)","平均每人每日一般廢棄物產生量 (公斤)"
88,"90年 1月",彰化縣,"40,825","38,446",0,"2,379",0,1.005
89,"100年 2月",新北市,"84,851","32,852","1,795","35,871","14,332",0.777
90,"90年 1月",南投縣,"15,764","14,065",0,"1,699",0,0.962
91,"100年 2月",臺北市,"69,557","29,576",641,"33,272","6,068",0.947
92,"90年 1月",雲林縣,"21,285","20,111",0,"1,174",0,0.924
93,"100年 2月",桃園市,"56,459","25,879",487,"23,188","6,905",1.007
94,"90年 1月",嘉義縣,"18,424","17,486",0,938,0,1.061
95,"100年 2月",臺中市,"63,020","32,401",991,"24,010","5,619",0.849
96,"90年 1月",屏東縣,"29,808","28,594",0,"1,214",0,1.066
97,"100年 2月",臺南市,"48,038","25,206",712,"16,952","5,169",0.916
98,"90年 1月",臺東縣,"9,940","8,955",0,985,0,1.317
99,"100年 2月",高雄市,"79,517","40,865","1,725","30,310","6,616",1.024
100,"90年 1月",花蓮縣,"15,778","14,836",0,942,0,1.447
101,"100年 2月",宜蘭縣,"13,692","5,458",322,"5,387","2,525",1.062
102,"90年 1月",澎湖縣,"3,403","3,247",0,156,0,1.227
103,"100年 2月",新竹縣,"12,687","7,201",35,"4,314","1,137",0.883
104,"90年 1月",基隆市,"15,258","13,035",0,"2,223",0,1.267
105,"100年 2月",苗栗縣,"14,599","7,426",120,"6,061",991,0.929
106,"90年 1月",新竹市,"15,767","13,746",0,"2,021",0,1.38
107,"100年 2月",彰化縣,"36,998","20,921",581,"10,914","4,582",1.011
108,"90年 1月",嘉義市,"9,900","9,663",0,237,0,1.199
109,"100年 2月",南投縣,"13,966","7,296",106,"4,940","1,624",0.948
110,"90年 1月",金門縣,"2,383","2,278",0,105,0,1.422
111,"100年 2月",雲林縣,"15,507","9,941",169,"4,240","1,158",0.772
112,"90年 1月",連江縣,0,0,0,0,0,0
113,"100年 2月",嘉義縣,"14,915","9,173",210,"4,699",833,0.982
114,"90年 2月",新北市,"104,559","99,298",0,"5,261",0,1.047
115,"100年 2月",屏東縣,"21,055","12,681",359,"6,637","1,378",0.862
116,"90年 2月",臺北市,"64,442","60,061",0,"4,381",0,0.87
117,"100年 2月",臺東縣,"5,779","3,284",117,"1,857",520,0.896
118,"90年 2月",桃園市,"49,816","46,949",0,"2,867",0,1.032
119,"100年 2月",花蓮縣,"8,444","4,454",73,"3,173",744,0.891
120,"90年 2月",臺中市,"56,585","48,982",0,"7,602",0,0.857
121,"100年 2月",澎湖縣,"2,642","1,437",16,908,281,0.974
122,"90年 2月",臺中市(舊),"20,133","16,018",0,"4,115",0,0.746
123,"100年 2月",基隆市,"11,638","5,525",203,"4,851","1,058",1.084
124,"90年 2月",臺中縣,"36,451","32,964",0,"3,487",0,0.933
125,"100年 2月",新竹市,"10,570","5,473",225,"3,816","1,056",0.908
126,"90年 2月",臺南市,"50,396","46,103",0,"4,293",0,0.979
127,"100年 2月",嘉義市,"8,365","4,232",210,"2,967",956,1.097
128,"90年 2月",臺南市(舊),"19,980","17,810",0,"2,169",0,0.971
129,"100年 2月",金門縣,"1,525",897,18,493,116,0.557
130,"90年 2月",臺南縣,"30,416","28,292",0,"2,124",0,0.984
131,"100年 2月",連江縣,612,187,40,273,113,2.198
132,"90年 2月",高雄市,"73,746","67,873",0,"5,873",0,0.967
133,"100年 3月",新北市,"85,577","31,664","2,335","36,436","15,142",0.708
134,"90年 2月",高雄市(舊),"43,483","39,683",0,"3,800",0,1.041
135,"100年 3月",臺北市,"73,101","30,170","1,030","35,164","6,737",0.898
136,"90年 2月",高雄縣,"30,263","28,190",0,"2,073",0,0.878
137,"100年 3月",桃園市,"55,445","26,143",692,"21,671","6,939",0.893
138,"90年 2月",宜蘭縣,"14,497","12,490",0,"2,007",0,1.113
139,"100年 3月",臺中市,"64,169","33,338",927,"23,987","5,918",0.781
140,"90年 2月",新竹縣,"11,756","10,294",0,"1,462",0,0.966
141,"100年 3月",臺南市,"51,441","26,992","1,040","18,346","5,063",0.886
142,"90年 2月",苗栗縣,"14,389","13,349",0,"1,040",0,0.933
143,"100年 3月",高雄市,"85,521","44,902","1,827","32,088","6,703",0.995
144,"90年 2月",彰化縣,"29,926","28,368",0,"1,558",0,0.815
145,"90年 2月",南投縣,"14,291","13,229",0,"1,061",0,0.957
146,"100年 3月",宜蘭縣,"14,890","5,227",431,"6,670","2,562",1.044
147,"100年 3月",新竹縣,"13,378","7,695",30,"4,500","1,153",0.84
148,"90年 2月",雲林縣,"19,186","17,654",0,"1,532",0,0.923
149,"90年 2月",嘉義縣,"15,870","14,961",0,908,0,1.011
150,"100年 3月",苗栗縣,"14,201","7,631",102,"5,457","1,012",0.817
151,"90年 2月",屏東縣,"24,397","23,218",0,"1,179",0,0.964
152,"100年 3月",彰化縣,"36,354","20,057",569,"11,161","4,567",0.898
153,"100年 3月",南投縣,"13,597","6,973",74,"4,872","1,677",0.834
154,"90年 2月",臺東縣,"8,548","7,360",0,"1,188",0,1.254
155,"100年 3月",雲林縣,"15,149","9,682",191,"4,066","1,210",0.682
156,"90年 2月",花蓮縣,"12,955","12,206",0,749,0,1.316
