序號,統計期,統計區,"總計 (公噸)","一般垃圾 (公噸)","巨大垃圾 (公噸)","資源垃圾 (公噸)","廚餘 (公噸)","平均每人每日一般廢棄物產生量 (公斤)"
84,"103年 7月",桃園市,"71,759","33,528",147,"29,481","8,603",1.129
85,"103年 8月",桃園市,"70,932","31,330",58,"31,024","8,520",1.115
86,"92年 11月",桃園市,"50,238","39,232",0,"7,025","3,981",0.924
87,"103年 9月",桃園市,"70,262","28,834",428,"32,468","8,532",1.141
88,"92年 12月",桃園市,"53,478","41,777",0,"7,455","4,245",0.95
89,"103年 10月",桃園市,"66,632","29,009",47,"28,996","8,580",1.046
90,93年,桃園市,"648,876","492,683",0,"109,900","46,294",0.965
91,"103年 11月",桃園市,"50,746","13,649",53,"28,651","8,393",0.823
92,"93年 1月",桃園市,"56,921","44,507",0,"8,031","4,382",1.008
93,"103年 12月",桃園市,"77,472","33,902",44,"34,394","9,133",1.215
94,104年,桃園市,"731,654","371,182","3,410","326,971","30,091",0.963
95,"93年 2月",桃園市,"49,091","38,311",0,"7,254","3,526",0.928
96,"104年 1月",桃園市,"63,149","31,177",821,"28,316","2,835",0.989
97,"93年 3月",桃園市,"50,597","39,348",0,"7,711","3,539",0.894
98,"104年 2月",桃園市,"56,723","26,864",43,"27,221","2,595",0.982
99,"93年 4月",桃園市,"51,807","39,478",0,"8,557","3,772",0.944
100,"104年 3月",桃園市,"67,641","36,910",427,"27,817","2,488",1.054
101,"93年 5月",桃園市,"54,842","41,939",0,"9,149","3,755",0.966
102,"104年 4月",桃園市,"60,494","30,172",474,"27,409","2,438",0.972
103,"104年 5月",桃園市,"48,607","19,559",39,"26,505","2,504",0.754
104,"93年 6月",桃園市,"56,397","42,451",0,"9,950","3,996",1.025
105,"104年 6月",桃園市,"64,711","35,101",111,"26,900","2,600",1.035
106,"93年 7月",桃園市,"56,947","43,123",0,"9,767","4,057",1
107,"104年 7月",桃園市,"64,854","35,577",228,"26,631","2,418",1.002
108,"93年 8月",桃園市,"55,910","42,714",0,"9,327","3,869",0.983
109,"104年 8月",桃園市,"66,740","37,148",275,"27,086","2,232",1.029
110,"104年 9月",桃園市,"57,256","27,548",170,"27,120","2,417",0.911
